future,role,policy,budget,frozen_selector,opponent,NR_frozen,NR_opponent,NR_opp_minus_frozen,reduction_pct,CI_lo,CI_hi,CI_excludes_0,beats_frozen_by_20pct_and_CI
AZT@36.0,replication,mlde_ridge,24,current_fitness,local_robustness,0.3591,0.2065,-0.1526,-73.92,-0.7223,0.5518,False,False
AZT@36.0,replication,mlde_ridge,24,current_fitness,neighbor_informative_frac,0.3591,0.4523,0.0932,20.6,-0.5574,0.6738,False,False
AZT@36.0,replication,mlde_ridge,24,current_fitness,dist_to_best,0.3591,0.798,0.4389,55.0,-0.794,0.4625,False,False
AZT@36.0,replication,mlde_ridge,24,current_fitness,n_better_neighbors,0.3591,0.4414,0.0823,18.66,-0.5142,0.6854,False,False
AZT@36.0,replication,mlde_ridge,24,current_fitness,local_ruggedness,0.3591,0.4414,0.0823,18.66,-0.506,0.6822,False,False
AZT@36.0,replication,mlde_ridge,24,current_fitness,proxy_eov_today,0.3591,0.9289,0.5698,61.34,-0.229,0.6107,False,False
AZT@36.0,replication,mlde_ridge,24,current_fitness,random,0.3591,0.6653,0.3062,46.03,-0.2636,0.3281,False,False
AZT@36.0,replication,mlde_ridge,96,current_fitness,current_fitness,0.1746,0.1746,0.0,0.0,0.0,0.0,False,False
AZT@36.0,replication,mlde_ridge,96,current_fitness,known_family_mean,0.1746,0.3542,0.1796,50.7,-0.1961,0.4423,False,False
AZT@36.0,replication,mlde_ridge,96,current_fitness,known_family_worst,0.1746,0.3542,0.1796,50.7,-0.1956,0.4315,False,False
AZT@36.0,replication,mlde_ridge,96,current_fitness,local_robustness,0.1746,0.1091,-0.0656,-60.11,-0.4489,0.8292,False,False
AZT@36.0,replication,mlde_ridge,96,current_fitness,neighbor_informative_frac,0.1746,0.5497,0.375,68.23,-0.4109,0.9251,False,False
AZT@36.0,replication,mlde_ridge,96,current_fitness,dist_to_best,0.1746,0.5661,0.3915,69.15,-0.4823,0.4366,False,False
AZT@36.0,replication,mlde_ridge,96,current_fitness,n_better_neighbors,0.1746,0.8457,0.6711,79.35,-0.3736,1.1186,False,False
AZT@36.0,replication,mlde_ridge,96,current_fitness,local_ruggedness,0.1746,0.8457,0.6711,79.35,-0.3706,1.2298,False,False
AZT@36.0,replication,mlde_ridge,96,current_fitness,proxy_eov_today,0.1746,0.1908,0.0162,8.49,-0.4198,0.3096,False,False
AZT@36.0,replication,mlde_ridge,96,current_fitness,random,0.1746,0.4895,0.3149,64.33,-0.0667,0.3601,False,False
AZT@36.0,replication,mlde_ridge,384,current_fitness,current_fitness,0.836,0.836,0.0,0.0,0.0,0.0,False,False
AZT@36.0,replication,mlde_ridge,384,current_fitness,known_family_mean,0.836,0.8235,-0.0126,-1.52,-0.2827,0.1652,False,False
AZT@36.0,replication,mlde_ridge,384,current_fitness,known_family_worst,0.836,0.8235,-0.0126,-1.52,-0.3319,0.1728,False,False
AZT@36.0,replication,mlde_ridge,384,current_fitness,local_robustness,0.836,0.9158,0.0798,8.71,-0.2746,0.225,False,False
AZT@36.0,replication,mlde_ridge,384,current_fitness,neighbor_informative_frac,0.836,0.8274,-0.0086,-1.04,-0.4664,0.3663,False,False
AZT@36.0,replication,mlde_ridge,384,current_fitness,dist_to_best,0.836,0.6316,-0.2044,-32.36,-0.3956,-0.0127,True,False
AZT@36.0,replication,mlde_ridge,384,current_fitness,n_better_neighbors,0.836,0.6066,-0.2294,-37.82,-0.5303,0.3287,False,False
AZT@36.0,replication,mlde_ridge,384,current_fitness,local_ruggedness,0.836,0.6066,-0.2294,-37.82,-0.5304,0.3101,False,False
AZT@36.0,replication,mlde_ridge,384,current_fitness,proxy_eov_today,0.836,0.954,0.118,12.37,-0.4194,0.2653,False,False
AZT@36.0,replication,mlde_ridge,384,current_fitness,random,0.836,0.7259,-0.1101,-15.17,-0.2763,0.0677,False,False
